product_id,name,category,brand,department,cost,shipping_cost_1000_mile,retail_price
13842,Low Profile Dyed Cotton Twill Cap - Navy W39S55D,Accessories,MG,Women,2.518749991,0.201986223,6.25
13928,Low Profile Dyed Cotton Twill Cap - Putty W39S55D,Accessories,MG,Women,2.338349915,0.187413795,5.949999809
14115,Enzyme Regular Solid Army Caps-Black W35S45D,Accessories,MG,Women,4.879559879,0.452862916,10.98999977
14157,Enzyme Regular Solid Army Caps-Olive W35S45D (One Size),Accessories,MG,Women,4.648769887,0.334326803,10.98999977
14273,Washed Canvas Ivy Cap - Black W11S64C,Accessories,MG,Women,6.507929886,0.542914247,15.98999977
15674,Low Profile Dyed Cotton Twill Cap - Navy W39S55D,Plus,MG,Women,3.10625,0.159160794,6.25
15816,Low Profile Dyed Cotton Twill Cap - Putty W39S55D,Plus,MG,Women,3.177299909,0.279448653,5.949999809
28646,4 Panel Large Bill Flap Hat W15S48B (One Size Fits Most/Khaki),Accessories,MG,Men,8.73562988,0.86945406,19.98999977
28670,Low Profile Dyed Cotton Twill Cap - Black W39S55D,Accessories,MG,Men,2.675939915,0.181767939,6.179999828
28714,Low Profile Dyed Cotton Twill Cap - Khaki W39S55D,Accessories,MG,Men,2.275,0.213428073,6.25
28779,Fishing Hat (01)-Khaki W10S32F,Accessories,MG,Men,7.367489915,0.382301895,20.98999977
28904,Fashion Plaid Ivy Cap - Blue W10S69F,Accessories,MG,Men,6.795749885,0.658056454,15.98999977
29007,Washed Hunting Fishing Outdoor Hat-Camo W11S41D,Accessories,MG,Men,10.79599987,1.056846896,26.98999977
12777,Womens MW Tankini Boyshorts Swimsuit Swimwear Crisscross Back Multiple Prints S-xxl,Swim,MW,Women,16.69129076,0.855821506,44.99000168
12810,Mw Long Ruffle Tankini Bikini Swimsuit Bra Straps Multiple Prints,Swim,MW,Women,21.05532088,1.05359017,44.99000168
12812,Womens long tankini bikini swimsuit Marina West 2 piece multiple prints bra straps,Swim,MW,Women,21.1453009,1.799551939,44.99000168
12853,Womens MW Tankini Boyshorts Swimsuit Swimwear Fashion prints S-XXL,Swim,MW,Women,18.71584077,1.662385548,44.99000168
12900,Womens One Piece/bikini Monokini Swimsuit w/ Fringe MW Multiple Prints and Solids,Swim,MW,Women,17.39565079,1.621966986,39.99000168
13247,Womens swimsuit MW Swimwear Set Halter w/ Boyshorts 2 piece bikini multiple prints,Swim,MW,Women,20.65041089,1.190368423,44.99000168
13477,MW Women's Swimsuit Two Piece Black Tankini with Bikini Bottoms,Swim,MW,Women,22.60089081,1.858844509,54.99000168
13574,Womens MW Two Piece Tankini Boyshorts Swimsuit Brown & Turquoise Ethnic Print,Swim,MW,Women,19.3906908,1.043064709,44.99000168
2848,2XU Women's Compression Recovery Sock,Active,2XU,Women,20.94670044,1.795302468,44.95000076
3039,2XU Women's Compression Race Sock,Active,2XU,Women,22.62735043,1.147883053,49.95000076
9041,2XU Women's Compression Race Sock,Socks & Hosiery,2XU,Women,20.47950023,1.635326133,49.95000076
13122,2XU Women's Swimmers Compression Long Sleeve Top,Swim,2XU,Women,68.73737201,4.335486596,150.4100037
18147,2XU Non-Stirrup Compression Calf Guard,Active,2XU,Men,17.0699004,0.937635201,40.45000076
18363,2XU Men's Compression Recovery Tights,Active,2XU,Men,65.09558124,4.875401963,159.9400024
18394,2XU Men's Compression Race Sock,Active,2XU,Men,22.9770004,1.191627878,49.95000076
18465,2XU Men's Elite Compression Performance Sock,Active,2XU,Men,27.24000022,2.145040697,60.0
18593,2XU Men's Compression Recovery Sock,Active,2XU,Men,17.00110066,1.008627657,43.15000153
18607,2XU Men's Compression 3/4 Tights,Active,2XU,Men,30.63616929,2.609661362,79.98999786
18644,2XU Men's Elite Compression Long Sleeve Top,Active,2XU,Men,41.28767907,3.713009743,107.5199966
18664,2XU Recovery Compression Leg Sleeves,Active,2XU,Men,25.83845043,2.425708521,59.95000076
18708,2XU Men's Thermal Compression Long Sleeve Top,Active,2XU,Men,42.59726061,3.239064244,111.2200012
18796,2XU Men's Compression Long Sleeve Top,Active,2XU,Men,36.3139191,1.961285167,84.05999756
24644,2XU Men's Compression Race Sock,Socks,2XU,Men,27.87210053,1.796917261,49.95000076
24674,2XU Men's Elite Compression Performance Sock,Socks,2XU,Men,35.64000009,1.894166887,60.0
24731,2XU Men's Compression Recovery Sock,Socks,2XU,Men,25.58795096,2.278193653,43.15000153
27569,2XU Men's Swimmers Compression Long Sleeve Top,Swim,2XU,Men,92.65256259,5.581195338,150.4100037
3206,AGB Women's Long Sleeve Striped Sweater Dress,Dresses,AGB,Women,38.31499995,2.651948082,79.0
3660,AGB Women's Short Sleeve Cowl Necked Sweater Dress,Dresses,AGB,Women,21.91964971,1.164402901,50.38999939
3682,AGB Women's Striped Long Sleeve Sweater Dress With Sash,Dresses,AGB,Women,18.95629926,1.679890516,45.34999847
3730,AGB Women's V-Neck Dress With Draped Side,Dresses,AGB,Women,39.07099994,2.065035228,89.0
3943,AGB Women's Plus-Size Ruched Short Sleeve V-Neck Dress with Empire Waistline,Dresses,AGB,Women,26.28080032,2.230214834,53.20000076
5353,AGB Women's Solid Challis Palazzo Pant With Self Sash,Pants & Capris,AGB,Women,22.46999997,2.090958238,42.0
5433,BKE Women's Casual Linen Cotton Natural Comfortable Pants,Pants & Capris,BKE,Women,11.64095946,0.858549428,20.20999908
9035,HDE Women's Solid Color Premium Microfiber Tights,Socks & Hosiery,HDE,Women,1.398300011,0.133487738,3.950000048
14170,HDE Ladies Fashion Leather Skinny Belt with Bow Buckle & Gold Accents,Accessories,HDE,Women,1.185900015,0.060005286,2.950000048
28411,HDE Solid Color Suspenders - 20 Styles,Accessories,HDE,Men,2.083760045,0.189013944,4.880000114
28548,HDE Classic Bow Tie,Accessories,HDE,Men,1.280300022,0.106813578,2.950000048
28873,HDE Colorful Pattern Suspenders,Accessories,HDE,Men,1.390400009,0.113493545,3.950000048
29033,HDE Pattern Suspenders,Accessories,HDE,Men,1.718250015,0.09595334,3.950000048
25038,Huf Plantlife Crew Socks,Socks,Huf,Men,7.600199878,0.477969105,11.94999981
17159,Independent Trading Co. Mens Sherpa Lined Full-Zip Contrast Hooded Sweatshirt (Assorted Colors),Fashion Hoodies & Sweatshirts,ITC,Men,28.42983092,2.02024363,54.99000168
5357,(1272) Ladies Wide Leg Smart City Trousers Light Brown,Pants & Capris,Ice,Women,15.45047985,0.914702425,27.98999977
5440,(1272) Wide Leg Smart Soft City Trousers Black,Pants & Capris,Ice,Women,13.46318991,0.861894211,27.98999977
5474,(1279) Skinny Trousers Military Army Look Camourflage,Pants & Capris,Ice,Women,13.89443987,0.784367286,24.98999977
7234,(2384) Fishtail Peplum Hem Pencil Skirt Black,Skirts,Ice,Women,9.196319841,0.685041766,24.98999977
7236,ICE (2328) Stretch Black Satin Pencil Skirt-14,Skirts,Ice,Women,11.38361983,0.834548071,25.98999977
7246,(2328) Satin Pencil Skirt with Skinny Belt Purple,Skirts,Ice,Women,9.452059873,0.746090224,23.98999977
7377,(2382) Waist Detail Pencil Skirt Shadow Stripe,Skirts,Ice,Women,10.19591988,0.612462563,24.98999977
7448,(2384) Fishtail Flute Skirt with Free Skinny Belt Beige,Skirts,Ice,Women,9.171329883,0.763958098,24.98999977
7903,ICE (5066) ladies smart herring bone tweed jacket brown 6-16,Blazers & Jackets,Ice,Women,10.56758998,1.013787163,30.98999977
8080,(6252) Pinstripe Tailored Boot Leg Trouser Suit,Suits,Ice,Women,37.11360111,2.027052045,57.99000168
8089,(6249-2) Smart Satin Evening Suit with Flute Skirt Beige,Suits,Ice,Women,49.16552861,3.880333148,75.98999786
8093,ICE (2327) smart stretch pencil skirt + FREE belt black size 6-14,Suits,Ice,Women,14.13956992,1.075421192,21.98999977
8101,ICE (2210) stretch pencil skirt school office navy blue sizes 4-14,Suits,Ice,Women,8.505919887,0.501396451,13.98999977
8103,ICE (6237-2) pinstripe tailored trouser suit dark brown sizes 8-16,Suits,Ice,Women,38.11730892,2.595943809,66.98999786
8107,(6251) Smart Casual Tailored Trouser Suit Dark Grey,Suits,Ice,Women,36.05756115,3.396537154,55.99000168
8109,(6240) Dip Hemmed Flute Skirt Suit Pinstripe Black,Suits,Ice,Women,37.7541011,3.682273194,63.99000168
8110,ICE (2356) stretch pencil skirt smart casual black 4-16,Suits,Ice,Women,9.701289909,0.590419099,16.98999977
8139,(6242) Function Cocktail Lace Bolero Skirt Suit Black,Suits,Ice,Women,59.51379878,4.180632751,95.98999786
8145,(6249-3) Teddy Style Function Suit with Pencil Skirt Grey,Suits,Ice,Women,44.83409887,2.764665789,75.98999786
8148,ICE (6234) smart tailored pencil skirt suit grey stripe sizes 10-18,Suits,Ice,Women,42.90603882,3.76441535,71.98999786
8155,ICE (6237-1) pinstripe tailored trouser suit dark navy blue sizes 8-16,Suits,Ice,Women,42.87359867,3.053856724,66.98999786
8158,ICE (2347) pencil skirt stretch sateen + FREE belt red size 6-16,Suits,Ice,Women,15.12617993,0.780034527,25.98999977
8160,ICE (2328) pencil skirt stretch satin + FREE belt red size 6-16,Suits,Ice,Women,15.69795991,0.964490985,25.98999977
8162,ICE smart stretch pencil skirt beige 4-16,Suits,Ice,Women,9.820219895,0.94413968,16.98999977
8185,ICE (2356) Stretch Pencil Skirt Smart Casual Wine 4-16,Suits,Ice,Women,10.26195989,0.625482629,16.98999977
8188,(6239) Waist Detail Pencil Skirt Suit Shadow Stripe Black,Suits,Ice,Women,35.49766125,2.191057353,55.99000168
8189,ICE (2359) lined chelsea beaded pencil skirt black sizes 8-18,Suits,Ice,Women,19.20435099,1.248536892,33.99000168
8191,ICE (6230) smart pencil skirt suit black shadow stripe sizes 10-20,Suits,Ice,Women,43.69792883,3.841038485,71.98999786
8194,ICE (2328) pencil skirt stretch satin + FREE belt black size 6-16,Suits,Ice,Women,16.13978989,1.340782187,25.98999977
8195,ICE (6235) smart tailored trouser suit dark grey sizes 10-20,Suits,Ice,Women,39.65807881,2.183925113,66.98999786
8197,ICE (2347) Pencil Skirt Stretch Sateen + Free Belt Silver Grey Size 6-16,Suits,Ice,Women,16.1917699,1.007199086,25.98999977
8199,ICE (2360) smart fully lined suit pencil skirt texture dark grey sizes 10-20,Suits,Ice,Women,17.16563985,1.224199566,26.98999977
8208,ICE (2347) pencil skirt stretch sateen + FREE belt black size 6-16,Suits,Ice,Women,16.2177599,1.544368689,25.98999977
8209,ICE (2356) towie stretch pencil skirt olympic red 4-16,Suits,Ice,Women,9.837209898,0.97090461,16.98999977
70,LnA Women's Beach Raglan Sweater,Tops & Tees,LNA,Women,56.92499983,4.468095647,99.0
791,LnA Women's Alexandrine Sweater,Sweaters,LNA,Women,44.64899993,3.217786393,99.0
2060,Next Level Apparel Ladies Juniors' Soft Thermal Hoodie T-Shirt. 8021,Fashion Hoodies & Sweatshirts,NLA,Women,6.033999998,0.414722377,14.0
1935,QSW Women's Native Cocoon Hoodie,Fashion Hoodies & Sweatshirts,QSW,Women,59.90400007,3.789238213,128.0
